pIndex	Problem	Equation	Relevant Indices	Number of Operators
675	मालिनी के पास 9 पीले कंचे थे। उसने जागृति को 3 पीले कंचे दिए। मालिनी के पास कितने पीले कंचे बचे?	X = ( 9 - 3 )	[0, 1]	1
676	छवि ने अपने बैंक के खाते से केवल ₹69 निकाले। नतीजतन, खाते में अब ₹26935 बचे हैं। पैसे निकालने से पहले खाते में कितना पैसा था?	X = ( 26935 + 69 )	[1, 0]	1
678	1 ग्राहक दुकान से 5 किग्रा शक्कर का थैला लेकर चलता है । रास्ते में थैला फटने पर 2 किग्रा शक्कर बिखर जाती है । थैले में कितने किग्रा शक्कर बचेगी ?	X = ( 5 - 2 )	[1, 2]	1
679	1 ऑर्डर की पूर्ति के लिए, कारखाने ने 61921 मीटर रेशम को हरा और 49500 मीटर को गुलाबी रंगा। उस ऑर्डर के लिए कितने मीटर रेशम रंगा गया?	X = ( 61921 + 49500 )	[1, 2]	1
680	अपनी गाड़ी के लिए, अथर्व ने स्पीकर पर ₹118.54 और नए टायर पर ₹106.33 खर्च किए। अथर्व ₹4.58 की 3 सीड़ियाँ ख़रीदना चाहता था, लेकिन नहीं ख़रीदीं। कुल मिलाकर, अथर्व ने गाड़ी के सामान पर कितना ख़र्चा किया?	X = ( 118.54 + 106.33 )	[0, 1]	1
681	1 पार्क में 86 पेड़ थे। उनमें से 15 मर गए और 23 को काट दिया गया। कितने पेड़ अभी बचे हैं?	X = ( ( 86 - 15 ) - 23 )	[1, 2, 3]	2
682	रीना बाजार से 1.400 किग्रा टमाटर , 0.500 किग्रा मिर्च तथा 2.600 किग्रा आलू खरीद कर अपने थैले में रखती है। उसके थैले का कुल भार कितना है ?	X = ( ( 1.400 + 0.500 ) + 2.600 )	[0, 1, 2]	2
683	गीता ने 30.75 रुपये के आम तथा 23.50 रुपये के केले खरीदे । उसने कुल कितनी राशि के फल खरीदे ?	X = ( 30.75 + 23.50 )	[0, 1]	1
684	1 मटके की कीमत 30 रुपये और सुराही की कीमत 20 रुपये है । दोनों को खरीदने के लिए हमें कितने रुपये देने होंगे ?	X = ( 30 + 20 )	[1, 2]	1
685	ब्रेंडा के पास 7 टाॅफ़ियाँ थीं। उसने 8 और खरीदीं। अंत में ब्रेंडा के पास कितनी मिठाइयाँ हैं?	X = ( 7 + 8 )	[0, 1]	1
689	हिबा के पास 60 संतरे थे। रसेल ने 35 ले लिए। हिबा के पास अब कितने संतरे हैं?	X = ( 60 - 35 )	[0, 1]	1
691	दराज में 46 स्केल थे। टिम ने दराज में 25 स्केल और रखे। अब दराज में कितने स्केल हैं?	X = ( 46 + 25 )	[0, 1]	1
692	200 लीटर तेल के ड्रम में से 5 , 3 लीटर तथा 2 लीटर तेल भरा जाता है , कितना तेल भरा गया?	X = ( ( 5 + 3 ) + 2 )	[1, 2, 3]	2
693	महेश के पास 95 मिठाइयाँ थीं। उसने स्टेफ़नी को 3 दीं। महेश के पास अब कितनी मिठाइयाँ हैं?	X = ( 95 - 3 )	[0, 1]	1
694	श्रीमती गुप्ता अपने बगीचे के चारों ओर 1 सीमा बनाना चाहती हैं। उन्होंने सीमा के चारों ओर 125 ईंटें रखी हैं। उनके पास 64 ईंटें और हैं। उनकी पूर्ण सीमा में कितनी ईंटें होंगी?	X = ( 125 + 64 )	[1, 2]	1
695	अर्काडिया में स्थित स्कूलों के छात्र कोट इकट्ठा करने की 1 मुहिम में भाग ले रहे हैं। 9437 कोट अब तक एकत्रित किए गए हैं। इस सप्ताह 6922 ज़्यादा कोट एकत्रित किए जाएँगे। कुल कितने कोट एकत्रित किए जाएँगे?	X = ( 9437 + 6922 )	[1, 2]	1
696	1 ऑर्डर की पूर्ति के लिए, कारखाने ने 61921 मीटर रेशम को रंगा, जिसमें से 49500 मीटर रेशम को गुलाबी रंगा। कितने मीटर रेशम को गुलाबी के अलावा किसी रंग से रंगा गया?	X = ( 61921 - 49500 )	[1, 2]	1
697	1 होटल ने आज खाना बनवाने के लिए 10 किलो आटा मंगवाया। ज़्यादा लोग आने के कारण उन्हें 5 किलो आटा और मंगवाना पड़ा। आज होटल ने खाना बनाने के लिए कितने किलो आते का इस्तेमाल किया?	X = ( 10 + 5 )	[1, 2]	1
699	फेसबुक पर पूजा के पास अपने दोस्तों की 63 तस्वीरें और अपने परिवार की 23 तस्वीरें थीं। उसके पास कुल कितनी तस्वीरें थीं?	X = ( 63 + 23 )	[0, 1]	1
700	सप्ताह के पहले दिन पैट के पास 39 स्टिकर थे। सप्ताह के दौरान पैट ने 22 और इकट्ठे किए। सप्ताह के अंत में पैट के पास कितने स्टिकर होंगे?	X = ( 39 + 22 )	[0, 1]	1
704	पंचायत द्वारा विद्यालय में 58 पौधे लगाने को दिए । उनमें से 46 पौधे लगा दिए । बताइए , अब कितने पौधे लगाने शेष रहे ?	X = ( 58 - 46 )	[0, 1]	1
705	वासुदेव ने 1 डाकघर से 5 रुपये के पोस्टकार्ड तथा 4.50 रुपये के डाक टिकट खरीदे । बताइए , उसने कुल कितनी राशि चुकाई ?	X = ( 5 + 4.50 )	[1, 2]	1
706	और घरों में बिस्कुट बचने के लिए, बुधवार को मृदुल ने अपनी माँ को उन्हें गाड़ी से शहर भर में ले जाने के लिए कहा। उस दिन मृदुल ने बिस्कुट के 55 पैक बेचे जबकि लावण्या ने 43 बेचे। उस दिन वे कितने पैक बेच पाए?	X = ( 55 + 43 )	[0, 1]	1
707	मार्टा ने 2 कद्दू तोड़े। पहले कद्दू का वज़न 4 किलो था और दूसरे कद्दू का वज़न 8.7 किलो था। दोनो कद्दूओं का मिलाकर वज़न कितना था?	X = ( 4 + 8.7 )	[1, 2]	1
708	दुर्गा ने अपनी बिल्ली को पनीर के 2 टुकड़े दिए। अब दुर्गा के पास 98 पनीर के टुकड़े बचे हैं। दुर्गा के पास मूलत: कितने पनीर के टुकड़े थे?	X = ( 2 + 98 )	[0, 1]	1
709	हिबा का वज़न 87 किलो है। रागिनी का वज़न 9 किलो है। एलिजाबेथ का वज़न 8 किलो है। रागिनी की तुलना में हिबा कितनी ज़्यादा भारी है?	X = ( 87 - 9 )	[0, 1]	1
710	रोडेन 1 पालतू जानवरों की दुकान में गया। उसने 15 स्वर्ण मछलियाँ और 7 नीली मछलियाँ ख़रीदीं । उसने कुल कितनी मछलियाँ खरीदीं?	X = ( 15 + 7 )	[1, 2]	1
711	रमा ने 1 मेज 3880 रु में खरीदी और राधा ने 1 मेज 2660 रु में खरीदी तो बताओ दोनो की मेजों के मूल्य में कितना अंतर है ।	X = ( 3880 - 2660 )	[1, 3]	1
713	एलिस के पास ₹8 थे। फिर उसने अपने भत्ते में से ₹13 बचाए और 1 कॉमिक बुक पर ₹2 खर्च किए। एलिस के पास कितना पैसा बचा है?	X = ( ( 8 + 13 ) - 2 )	[0, 1, 3]	2
715	अलमारी पर 38 किताबें थीं। मार्टा ने 10 किताबें अलमारी से हटा दीं। अब अलमारी पर कितनी किताबें हैं?	X = ( 38 - 10 )	[0, 1]	1
716	1 फ़र्शिंग कंपनी ने 1 सड़क को बनाने के लिए 10 टन मिक्श्चर और दूसरी सड़क को बनाने के लिए 5.1 टन मिक्श्चर का प्रयोग किया। 2 सड़कों में कितना अंतर था?	X = ( 10 - 5.1 )	[2, 3]	1
717	मेज़ की लंबाई 6 बालिश्तें हैं । दूसरे मेज की लंबाई 8 बालिश्तें है । यदि दोनों मेज़ जोड़ दिए जाए तो लंबाई कितने बालिश्तें होगी ?	X = ( 6 + 8 )	[0, 1]	1
718	पार्टी के बाद कार्तिक ने अनुमान लगाया कि खाने, पेयजल और बर्तन पर खर्च किए गए कुल पैसे ₹560 हैं। अगर उन्होंने भोजन पर ₹268 खर्च किए और ₹118 बर्तन और अन्य सामान पर, तो उन्होंने पेयजल पर कितना खर्चा किया?	X = ( 560 - ( 268 + 118 ) )	[0, 1, 2]	2
719	राधे ने जन्मदिन की पार्टी के लिए पेपर की 61 प्लेटें ख़रीदीं। उसके पास पहले से ही 26 नीली प्लेटें और 7 लाल प्लेटें हैं। राधे के पास कितनी प्लेटें हैं?	X = ( 61 + ( 26 + 7 ) )	[0, 1, 2]	2
720	कहानियों की पुस्तक में 28 कहानियाँ हैं । रमन ने उसमें से 20 कहानियाँ पढ़ लीं । रमन ने कितनी कहानियाँ और पढ़नी हैं ?	X = ( 28 - 20 )	[0, 1]	1
723	सोहन ने जून में 25 किताबें पढ़ीं। मोहन ने 30 किताबें पढ़ीं। मोहन ने सोहन से कितनी ज़्यादा किताबें पढ़ीं?	X = ( 30 - 25 )	[1, 0]	1
724	कनिष्क के पास 10 लाल गुब्बारे हैं, सिद्धांत के पास 46 लाल गुब्बारे हैं और डेन के पास 16 लाल गुब्बारे हैं। गुब्बारों की कीमत 10 रुपये है। उनके पास कुल कितने लाल गुब्बारे हैं?	X = ( ( 10 + 46 ) + 16 )	[0, 1, 2]	2
725	1 कंपनी में 300 कर्मचारी काम करते हैं। पहली शिफ़्ट में 120 कर्मचारी काम करते हैं। तो दूसरी शिफ़्ट में कितने कर्मचारी काम करेंगे?	X = ( 300 - 120 )	[1, 2]	1
726	मोहन ने सोमवार को 135 दीपक बनाए तथा मंगलवार को 465 दीपक बनाए, तो बताइए मोहन ने सोमवार व मंगलवार को मिलाकर कितने दीपक बनाए?	X = ( 135 + 465 )	[0, 1]	1
727	आयशा के पास 58 किताबें थीं और उसने 19 उधार पर लीं। अब आयशा के पास कितनी किताबें हैं?	X = ( 58 + 19 )	[0, 1]	1
728	धौलपुर से भरतपुर की दूरी 90 किमी है । राकेश कार से इस दूरी को ठीक 2.2 घंटे में व फिरोज मोटर साईकिल से 3.13333333333333333 घंटे में तय करता है । फिरोज को राकेश की अपेक्षा कितना समय अधिक लगा ?	X = ( 3.13333333333333333 - 2.2 )	[2, 1]	1
729	रानी मिठाई की दुकान पर काम करती है। उसे हर हफ़्ते 90 घेवर बेचने होंगे। उसने सोमवार को 45 बेचे। उसने मंगलवार को 16 बेचे। रानी को कितने और घेवर बेचने हैं?	X = ( ( 90 - 45 ) - 16 )	[0, 1, 2]	2
730	कॉनी के पास कुछ कंचे थे। कॉनी ने 183 शोभा को दिए। अब कॉनी के पास 593 कंचे बचे हैं। कॉनी के पास शुरुआत में कितने थे?	X = ( 183 + 593 )	[0, 1]	1
731	श्रीमती वोंग के पास 30 वैलेंटाइन थे। उनके बच्चों ने उसे 8 वैलेंटाइन दिए। उनके पास अब कितने हैं?	X = ( 30 + 8 )	[0, 1]	1
733	श्रीमती गुप्ता के पास 15 रुपये थे। उन्होंने 11 रुपये की 1 पेंसिल खरीदी। उनके पास कितने रुपये बचे हैं?	X = ( 15 - 11 )	[0, 1]	1
734	सुप्रीत ने ₹ 365 का स्कूल बैग खरीदा । उसने दुकानदार को ₹ 500 दिए । दुकानदार उसे कितने रुपये वापिस करेगा ?	X = ( 500 - 365 )	[1, 0]	1
738	गाँव के सरपंच ने स्वतन्त्रता दिवस पर मीरा को 54 रुपये तथा किशन को 31 रुपये पुरस्कार स्वरूप प्रदान किए । सरपंच कुल कितने रुपये पुरस्कार में बाँटे ?	X = ( 54 + 31 )	[0, 1]	1
739	केया की विज्ञान की पाठ्यपुस्तक का वज़न 7.125 किलोग्राम है और उसकी गणित की पाठ्यपुस्तक का वज़न 0.625 किलोग्राम है। गणित की पाठ्यपुस्तक की तुलना में विज्ञान की पाठ्यपुस्तक का वज़न कितना ज़्यादा है?	X = ( 7.125 - 0.625 )	[0, 1]	1
740	वर्तमान में पार्क में 2 गुलाब की झाड़ियाँ हैं। पार्क कर्मी आज 4 गुलाब की झाड़ियाँ लगाएँगे। श्रमिकों का काम समाप्त होने पर पार्क में कितनी गुलाब की झाड़ियाँ होंगी?	X = ( 2 + 4 )	[0, 1]	1
742	मैलनी के पास बैंक में 7 रुपये थे। उसके पिता ने उसे 8 रुपये दिए और उसने अपनी माँ को 4 रुपये दिए। मैलनी के पास अब कितने रुपये हैं?	X = ( ( 7 + 8 ) - 4 )	[0, 1, 2]	2
743	शुरुआत में 1 किसान के पास बीजों की 8.75 बाल्टियाँ थीं। बीजों की बुवाई के बाद, उसके पास अब 6 बाल्टियाँ हैं। किसान ने कितनी बाल्टी बीज बोए?	X = ( 8.75 - 6 )	[1, 2]	1
744	1 साईकिल की क़ीमत 999 रु. है। अजय के पास 600 रु. ही है तो बताओ अजय को साइकिल ख़रीदने के लिए और कितने रुपये चाहिए?	X = ( 999 - 600 )	[1, 2]	1
745	पूजा ने 22 मिनट स्कूल में और उन्नीस मिनट घर पर चित्र बनाने में बिताए। उसने कुल कितने मिनट चित्र बनाने में बिताए?	X = ( 22 + 19 )	[0, 'implicit']	1
746	जॉनेथन 1 शब्दकोष खरीदना चाहता है जिसकी कीमत ₹11 है और 1 बच्चों की पकवान की किताब है जिसकी कीमत ₹7 है। उन्होंने अपने भत्ते में से ₹8 की बचत की है। जॉनेथन को तीनों किताबों को खरीदने के लिए और कितना पैसा चाहिए?	X = ( ( 11 + 7 ) - 8 )	[1, 3, 4]	2
749	जागृति ने ₹5.20 का 1 बास्केटबॉल गेम और ₹4.23 का 1 रेसिंग गेम खरीदा। जागृति ने वीडियो गेमों पर कुल कितना ख़र्चा किया?	X = ( 5.2 + 4.23 )	[0, 2]	1
750	1 पानी की टंकी में 500 लीटर पानी भरा हुआ है । उसमें से 450 लीटर पानी बह गया तो उसमें कितना पानी शेष बचा है ?	X = ( 500 - 450 )	[1, 2]	1
751	आपके घर में 4 टब बड़े हैं और 3 टब छोटे हैं । बताओ , घर में कुल कितने टबहैं ?	X = ( 4 + 3 )	[0, 1]	1
752	रोज़ी के पास 9 पेंसिलें हैं । उसकी 3 पेंसिलें गुम हो गई । अब उसके पास कितनी पेंसिलें रह गईं ?	X = ( 9 - 3 )	[0, 1]	1
753	मालिनी के पास 18 बेसबॉल कार्ड थे। कनिष्क ने मालिनी को 26 नए बेसबॉल कार्ड दिए। मालिनी ने 40 बेसबॉल कार्ड बेचे। मालिनी के पास अब कितने बेसबॉल कार्ड हैं?	X = ( ( 18 + 26 ) - 40 )	[0, 1, 2]	2
754	अवनीत ने ₹ 72 की 1 चॉकलेट खरीदी और ₹ 35 का जूस खरीदा । वह दुकानदार को कितने रुपये देगा ?	X = ( 72 + 35 )	[0, 2]	1
755	करिन की विज्ञान की कक्षा में छात्रों ने 1 परीक्षण के लिए प्लास्टिक के छल्ले का वज़न किया। उन्होंने देखा कि नारंगी छल्ले का वज़न 0.08333333333333333 ग्राम, बैंगनी छल्ले का वज़न 0.3333333333333333 ग्राम और सफ़ेद छल्ले का वज़न 0.4163366666666667 ग्राम था। प्लास्टिक के छल्ले का कुल वज़न क्या था?	X = ( ( 0.08333333333333333 + 0.3333333333333333 ) + 0.4163366666666667 )	[1, 2, 3]	2
757	सारा के पास बैंक में 4 रुपये और 8 पैसे थे। उसकी बहन ने उससे 4 पैसे कर्ज लिए। अब सारा के पास कितने पैसे हैं?	X = ( 8 - 4 )	[1, 2]	1
758	अथर्व खिलौनों की 1 दुकान पर गया। उसने ₹4.95 की 1 फ़ुटबॉल ख़रीदी, कुछ कंचों को ₹9.05 में बेचा और फिर 1 बेसबॉल पर 6.52 रुपये खर्च किए। कुल मिलाकर, अथर्व ने कितनी नकद राशि खर्च की?	X = ( ( 4.95 + 6.52 ) - 9.05 )	[1, 5, 3]	2
759	सोनी ने 24 रुपये के बिस्किट तथा 16 रुपये का चिप्स‌ का पैकेट खरीदा। उसे कितने रुपये देने होंगे?	X = ( 24 + 16 )	[0, 1]	1
760	1 मोहल्ले में 64 पुरुष और 44 महिलाएँ हैं। बताओ मोहल्ले में कुल कितने पुरूष एवं महिलाएँ हैं?	X = ( 64 + 44 )	[1, 2]	1
761	विष्णु के पास 33 किताबें थीं। यदि उसने उनमें से 11 बेच दीं और 23 नई किताबें खरीदने के लिए कमाए हुए पैसों का प्रयोग किया, तो विष्णु के पास कितनी किताबें होंगी?	X = ( ( 33 - 11 ) + 23 )	[0, 1, 2]	2
764	1 रिसॉर्ट ने जनवरी में 65 इंच बर्फ़ मापी। उन्होंने पहले सप्ताह के दौरान 18 इंच बर्फ़ मापी। उन्होंने दूसरे सप्ताह 25 इंच बर्फ़ मापी। बचे हुए महीने में उन्होंने कितनी बर्फ़ मापी?	X = ( ( 65 - 18 ) - 25 )	[1, 2, 3]	2
765	खेल के मैदान में 28 लड़कियाँ और 35 लड़के थे। लड़कियों की तुलना में कितने ज़्यादा लड़के थे?	X = ( 35 - 28 )	[1, 0]	1
767	3 बर्तनों में तेल की मात्रा क्रमश : 10.350 ली. , 9.850 ली और 11 ली . है । तीनों बर्तनों में कुल तेल की मात्रा पता करें ।	X = ( ( 10.350 + 9.850 ) + 11 )	[1, 2, 3]	2
768	जेसन इस महीने फुटबॉल के 11 मैच देखने गया। वह पिछले महीने 17 मैच देखने गया था और अगले महीने वह 16 मैच देखने जाएगा। वह कुल कितने मैच देखेगा?	X = ( ( 11 + 17 ) + 16 )	[0, 1, 2]	2
770	1 माला में बड़े और छोटे 10 मोती हैं । यदि 6 मोती बड़े हैं तो बताओ कि छोटे मोती कितने हैं ?	X = ( 10 - 6 )	[1, 2]	1
771	4 गाजर थीं । ख़रगोश ने 1 गाजर ले ली । अब कितनी गाजर बचीं ?	X = ( 4 - 1 )	[0, 1]	1
773	1 मोहल्ले में 250 पुरुष, 207 महिलाएँ और 170 बच्चे हैं। तो बताओ मोहल्ले की कुल जनसंख्या क्या है?	X = ( ( 250 + 207 ) + 170 )	[1, 2, 3]	2
775	वृंदा के पास शुरुआत में 36 स्टिकर थे। रागिनी ने उसे 7 दिए। वृंदा के पास कितने स्टिकर हैं?	X = ( 36 + 7 )	[0, 1]	1
776	मोहन के पास ₹700 हैं, उसमें से उसने ₹483 का सामान ख़रीद लिया, तो बताओ अब उसके पास कितने रुपये शेष बचे?	X = ( 700 - 483 )	[0, 1]	1
777	डीनीस ने 1 बरनी में 5 केले डाले। बरनी में पहले से 46 केले थे। बरनी में अब कितने केले हैं?	X = ( 46 + 5 )	[2, 1]	1
780	साधना ने अपनी छुट्टियों में कुल ₹350 खर्च किए। अगर उसने भोजन पर ₹125 खर्च किए और ₹135 होटल के कमरों पर, तो उसने अन्य सामान खरीदने पर कितना खर्चा किया?	X = ( 350 - ( 125 + 135 ) )	[0, 1, 2]	2
781	इसाबेल के पास 68 टॉफ़ियाँ थीं। उसकी सहेली ने उसे 25 टॉफ़ियाँ दीं। इसाबेल के पास कुल कितनी टॉफ़ियाँ हैं?	X = ( 68 + 25 )	[0, 1]	1
782	आदिल 0.4 मील दौड़ा और 0.2 मील चला। आदिल चलने की तुलना में कितना ज़्यादा दौड़ा?	X = ( 0.4 - 0.2 )	[0, 1]	1
783	1 दुकान में 1 डिब्बे में 34 संतरे थे। यदि उन्होंने 13 संतरे डाले, फिर और 20 संतरे डाले, तो डिब्बे में कितने संतरे होंगे?	X = ( ( 34 + 13 ) + 20 )	[2, 3, 4]	2
784	1 पार्क में 83 पेड़ हैं। उनमें से 36 नीम और बाकी पीपल हैं। पार्क में नीम की तुलना में कितने अधिक पीपल हैं?	X = ( ( 83 - 36 ) - 36 )	[1, 2, 2]	2
785	टॉमी के पास कुछ गुब्बारे थे। उसकी माँ ने उसे उसके जन्मदिन पर 34 और गुब्बारे दिए। अब टॉमी के पास 60 गुब्बारे हैं। पहले टॉमी के पास कितने गुब्बारे थे?	X = ( 60 - 34 )	[1, 0]	1
786	गुरप्रीत ने कुछ खिलौने खरीदे। उसने ₹9.14 में 1 फ़ुटबॉल बेची और ₹20 का नोट देकर 1 ₹6.81 की बेसबॉल खरीदी। खरीद से उसे कुल कितने रुपये वापस मिले?	X = ( ( 20 + 9.14 ) - 6.81 )	[2, 0, 4]	2
790	आनंद ने 2.350 कि . ग्राम . प्याज़ ; 1.750 कि . ग्राम आलू खरीदे । उसने कुल कितनी सब्ज़ी खरीदी ?	X = ( 2.350 + 1.750 )	[0, 1]	1
792	पिछले शनिवार को, स्पेंसर पूरे शहर में घूमा। सबसे पहले, उसने अपने घर से लाइब्रेरी तक 0.3 मील और लाइब्रेरी से डाक घर तक 0.1 मील की दूरी तय की। फिर वह डाक घर से 0.4 मील पैदल चलकर वापस घर आया। स्पेंसर कुल कितने मील चला?	X = ( ( 0.3 + 0.1 ) + 0.4 )	[0, 1, 2]	2
793	वर्तमान में पार्क में 7 पीपल के पेड़ हैं। कर्मचारी आज 5 पीपल के पेड़ और कल 4 पीपल के पेड़ लगाएँगे। इस काम को पूरा करने में 8 मज़दूर लगे। मज़दूरों का काम खत्म होने पर कितने पीपल के पेड़ होंगे?	X = ( ( 7 + 5 ) + 4 )	[0, 1, 2]	2
794	यूसुफ़ के पास 20 सेब थे। जूडी के पास 11 सेब हैं। यूसुफ़ को यूजीन से 7 मिले। यूसुफ़ के पास कितने सेब हैं?	X = ( 20 + 7 )	[0, 2]	1
795	1 टेप 13 मीटर लम्बी थी। हेली ने कुछ डिब्बों को बंद करने के लिए टेप इस्तेमाल की। अब टेप छह मीटर लम्बी है। उसने कितनी टेप इस्तेमाल की?	X = ( 13 - 6 )	[1, 'implicit']	1
796	सुप्रीत के पास 7 पेंसिलें हैं । उसको मम्मी ने 5 पेंसिलें और दे दीं । अब उसके पास कितनी पेंसिलें हैं ?	X = ( 7 + 5 )	[0, 1]	1
798	कीर्ति बुक स्टोर ने जून के प्रथम सप्ताह में ₹285891 मूल्य की पुस्तकें बेचीं। इसी माह के दूसरे सप्ताह में ₹400768 मूल्य की पुस्तकें बेची गईं। दोनों सप्ताहों में कुल मिलाकर कितनी बिक्री हुई?	X = ( 285891 + 400768 )	[0, 1]	1
800	बगीचे में अथर्व ने 7 सेब तोड़े, नैन्सी ने 3 सेब खाए और कल्पेश ने 6 सेब और 4 नाशपाती खाए। कितने सेब बचे?	X = ( ( 7 + 6 ) - 3 )	[0, 2, 1]	2
802	दैविक ने 9 नींबू तोड़े और सारा को 4 नींबू दे दिए। दैविक के पास अब कितने नींबू हैं?	X = ( 9 - 4 )	[0, 1]	1
804	अंजलि के पास 2 इरेज़र थे। जेनेट के पास 2 इरेज़र थे। यदि जेनेट ने अंजलि को अपने सभी इरेज़र दिए, तो अंजलि के पास कितने इरेज़र होंगे?	X = ( 2 + 2 )	[0, 1]	1
805	पिछले साल 1 देश में 90171 लोगों का जन्म हुआ था और 16320 लोगों ने आप्रवासन किया था। पिछले साल देश में कितने नए लोग रहने लगे?	X = ( 90171 + 16320 )	[1, 2]	1
806	अथर्व के पास बैंक में 33 रुपये और 87 पैसे थे। उसके पिता ने उससे 75 पैसे लिए। उसके पास अब कितने पैसे हैं?	X = ( 87 - 75 )	[1, 2]	1
807	निशा के पास 32 चूड़ियाँ हैं। सुखी के पास 16 चूड़ियाँ हैं। निशा के पास सुखी से कितनी चूड़ियाँ ज़्यादा हैं?	X = ( 32 - 16 )	[0, 1]	1
809	1 बक्से में 55 संतरे थे। डेबोरा के 1 बैग में 11 संतरे हैं। सूज़न ने बक्से में 35 संतरे और डाले। बक्से में कितने संतरे हैं?	X = ( 55 + 35 )	[1, 4]	1
811	अजय के पास 9 पीले गुब्बारे हैं। सारा के पास 8 पीले गुब्बारे हैं। कुल कितने पीले गुब्बारे हैं?	X = ( 9 + 8 )	[0, 1]	1
812	स्कूल शुरू होने से पहले अहमद को 9 छोटी आस्तीन की क़मीज़ें और 21 लंबी आस्तीन की क़मीज़ें धोनी थीं। यदि स्कूल शुरू होने तक उसने केवल 29 धोईं, तो उसने कितनी नहीं धोईं?	X = ( ( 9 + 21 ) - 29 )	[0, 1, 2]	2
814	1 विद्यालय में कुल 297 बालक बालिकाएँ पढ़ते हैं। इनमें से 159 बालक हों तो बालिकाओं की संख्या बताओ?	X = ( 297 - 159 )	[1, 2]	1
816	रॉन ने 1 विज्ञान की कक्षा में 2 रंगीन, धातु की बनी गेंदों का वज़न किया। नीली गेंद का वज़न 6 किलो और भूरी गेंद का वज़न 3.12 किलो था। यदि रॉन एकसाथ दोनों गेंदों को वेइंग स्केल पर रखता है, तो वेइंग स्केल पर कुल कितना वज़न आएगा?	X = ( 6 + 3.12 )	[2, 3]	1
817	दैविक की बिल्ली के कुछ बच्चे हुए और 5 पर धब्बे थे। उसने उनमें से जेसन को 7 और टिम को 4 दिए। उसके पास अब 5 बिल्ली के बच्चे हैं। उसके पास शुरूआत में कितने बिल्ली के बच्चे थे?	X = ( ( 5 + 7 ) + 4 )	[3, 1, 2]	2
818	दैविक के पास ₹3 थे। उसने ₹1 की 1 टाॅफ़ी खरीदी। उसके पास कितने रुपये बचे हैं?	X = ( 3 - 1 )	[0, 1]	1
820	क्रिसमस निकट है। नाइस पीपल इंक के अध्यक्ष श्री एंडरसन ने कम भाग्यशाली लोगों को खुशी बाँटने के लिए 1 चैरिटी इवेंट का आयोजन किया। सबसे पहले उन्होंने 1 अनाथालय का दौरा किया। वहाँ उन्होंने सांता के कपड़े पहनकर बच्चों को खिलौने दिए। अगर उन्होंने लड़कों को 134 खिलौना कारें और लड़कियों को 269 गुडियाँ दीं, तो उन्होंने सभी को कुल कितने खिलौने दिए?	X = ( 134 + 269 )	[2, 3]	1
821	एनी के दुसरे मित्र आर्यन को नाश्ता बनाने को कहा गया। उसने 30 हॉटडॉग्स, पनीर के 20 टुकड़े और चिकन के 40 स्लाइस लाने का फैसला किया। आर्यन नाश्ते के लिए कितनी चीज़ें लाया?	X = ( ( 30 + 20 ) + 40 )	[0, 1, 2]	2
822	लिटर पैट्रोल ने शनिवार को 10 काँच की बोतलें और 8 एल्यूमीनियम के कैन उठाए। उन्होंने कुल कितना कचरा उठाया?	X = ( 10 + 8 )	[0, 1]	1
824	उनकी यात्रा में अगला कीट भंडार था, जो सैकड़ों कीट प्रजातियों का घर था। तितलियों और चींटियों को पसंद करने वाली अदिति ने विभिन्न प्रजातियों की तस्वीरें लीं। उसने तितलियों की 60 प्रजातियों, चींटियों की 15 प्रजातियों और अन्य कीड़ों की 20 प्रजातियों की तस्वीरें लीं। अदिति ने कीड़ों की कितनी प्रजातियों की तस्वीरें लीं?	X = ( ( 60 + 15 ) + 20 )	[0, 1, 2]	2
825	राघव अपने पिछवाड़े से लकड़ियाँ उठा रहा था। उसने 38 उठाईं लेकिन अभी भी 61 बाकी हैं। मूलत: पिछवाड़े में कितनी लकड़ियाँ थीं?	X = ( 38 + 61 )	[0, 1]	1
827	लता ने 7.50 रुपये में 1 पेंसिल और 1 कलम खरीदा। उसने कुल 10 रुपये दिए। बताओ उसे कितने रुपये वापस मिले?	X = ( 10 - 7.5 )	[3, 0]	1
828	कनिष्क के पास 5 पीले गुब्बारे हैं, सिद्धांत के पास 6 पीले गुब्बारे हैं और मालिनी के पास 7 पीले गुब्बारे हैं। गुब्बारों की क़ीमत 5 रुपये है। कुल कितने पीले गुब्बारे हैं?	X = ( ( 5 + 6 ) + 7 )	[0, 1, 2]	2
829	फ्रॉस्टिंग के लिए, वृंदा को 300 ग्राम मक्खन की आवश्यकता होगी। अगर उसे खेत से 149 ग्राम मिला, तो उसे कितना अधिक मक्खन खरीदने की आवश्यकता है?	X = ( 300 - 149 )	[0, 1]	1
830	वर्तमान में पार्क में 25 लोकप्रिय पेड़ हैं। पार्क के कार्यकर्ता आज 73 लोकप्रिय पेड़ लगाएँगे। कार्यकर्ताओं का काम समाप्त होने पर पार्क में कितने लोकप्रिय पेड़ होंगे?	X = ( 25 + 73 )	[0, 1]	1
832	अथर्व ने कुछ खिलौने खरीदे। उसने ₹9.05 के कंचे और ₹4.95 की 1 फ़ुटबॉल ख़रीदी और उसे बेसबॉल वापस करने पर ₹6.52 मिले। खिलौनों पर खर्च किए जाने वाली शुद्ध राशि क्या है?	X = ( ( 9.05 + 4.95 ) - 6.52 )	[0, 1, 3]	2
